CASRN,SMILES
,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC
1678928,CCCC1CCCCC1
99876,CC1=CC=C(C=C1)C(C)C
594616,CC(C)(C(=O)O)O
95658,CC1=C(C=C(C=C1)O)C
,CC#C
111273,CCCCCCO
463490,C=C=C
112958,CCCCCCCCCCCCCCCCCCCC
107051,C=CCCl
112721,CCCCCCCCCCCCCCO
108189,CC(C)NC(C)C
873949,CC1CC(=O)CC(C1)(C)C
120821,C1=CC(=C(C=C1Cl)Cl)Cl
108383,CC1=CC(=CC=C1)C
628320,CCCOCC
101973,CCOC(=O)CC1=CC=CC=C1
39734935,CC(C1(CCOCO1)C)O
3175233,CC(CCl)(Cl)Cl
115117,CC(=C)C
75445,C(=O)(Cl)Cl
99898,CC(C)C1=CC=C(C=C1)O
1192229,CCC1C(O1)(C)C
108203,CC(C)OC(C)C
107926,CCCC(=O)O
98862,CC(=O)C1=CC=CC=C1
75730,C(F)(F)(F)F
68122,CN(C)C=O
,N#N
78944,CC(=O)C=C
17092807,CC1=CC(=C(C)C)CCC1
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
96297,CCC(=NO)C
100527,C1=CC=C(C=C1)C=O
,CCCCCC#C
75252,C(Br)(Br)Br
123911,C1COCCO1
67630,CC(C)O
291645,C1CCCCCC1
75332,CC(C)S
